id,primerPair,fastaid
873,1,ref|NC_021378.1|
874,2,ref|NC_021378.1|
875,3,ref|NC_021378.1|
876,4,ref|NC_021378.1|
877,5,ref|NC_021378.1|
878,6,ref|NC_021378.1|
879,7,ref|NC_021378.1|
880,9,ref|NC_021378.1|
881,10,ref|NC_021378.1|
882,11,ref|NC_021378.1|
883,12,ref|NC_021378.1|
884,13,ref|NC_021378.1|
885,14,ref|NC_021378.1|
886,15,ref|NC_021378.1|
887,1,ref|NC_018370.1|
888,2,ref|NC_018370.1|
889,3,ref|NC_018370.1|
890,4,ref|NC_018370.1|
891,5,ref|NC_018370.1|
892,6,ref|NC_018370.1|
893,7,ref|NC_018370.1|
894,8,ref|NC_018370.1|
895,9,ref|NC_018370.1|
896,10,ref|NC_018370.1|
897,11,ref|NC_018370.1|
898,12,ref|NC_018370.1|
899,13,ref|NC_018370.1|
900,14,ref|NC_018370.1|
901,15,ref|NC_018370.1|
902,4,ref|NC_010535.1|
903,5,ref|NC_010535.1|
904,4,ref|NC_031379.1|
905,4,ref|NC_026716.1|
906,4,ref|NC_031817.1|
907,6,ref|NC_031817.1|
908,6,ref|NC_034131.1|
909,15,ref|NC_034131.1|
910,5,ref|NC_034128.1|
911,15,ref|NC_034128.1|
912,6,ref|NC_034082.1|
913,15,ref|NC_034082.1|
914,6,ref|NC_034063.1|
915,15,ref|NC_034063.1|
916,15,ref|NC_026842.1|
917,6,ref|NC_028532.1|
918,15,ref|NC_028532.1|
919,4,ref|NC_011200.1|
920,5,ref|NC_029834.1|
921,4,ref|NC_029812.1|
922,1,ref|NC_011114.1|
923,2,ref|NC_011114.1|
924,3,ref|NC_011114.1|
925,4,ref|NC_011114.1|
926,5,ref|NC_011114.1|
927,6,ref|NC_011114.1|
928,8,ref|NC_011114.1|
929,15,ref|NC_011114.1|
930,1,ref|NC_012617.1|
931,2,ref|NC_012617.1|
932,3,ref|NC_012617.1|
933,4,ref|NC_012617.1|
934,5,ref|NC_012617.1|
935,8,ref|NC_012617.1|
936,15,ref|NC_012617.1|
937,15,ref|NC_012424.1|
938,15,ref|NC_034095.1|
939,5,ref|NC_034139.1|
940,15,ref|NC_034139.1|
941,15,ref|NC_025933.1|
942,15,ref|NC_022699.1|
943,5,ref|NC_005438.1|
944,15,ref|NC_014349.1|
945,4,ref|NC_013847.1|
946,4,ref|NC_021103.1|
947,4,ref|NC_015478.1|
948,15,ref|NC_026837.1|
949,15,ref|NC_026046.1|
950,4,ref|NC_029205.1|
951,6,ref|NC_029205.1|
952,15,ref|NC_029205.1|
953,5,ref|NC_019595.1|
954,15,ref|NC_019595.1|
955,2,ref|NC_019593.1|
956,3,ref|NC_019593.1|
957,15,ref|NC_026910.1|
958,15,ref|NC_024098.1|
959,15,ref|NC_024582.1|
960,15,ref|NC_014806.1|
961,4,ref|NC_033875.1|
962,4,ref|NC_030001.1|
963,15,ref|NC_030001.1|
964,4,ref|NC_006678.1|
965,1,ref|NC_011302.1|
966,2,ref|NC_011302.1|
967,3,ref|NC_011302.1|
968,4,ref|NC_011302.1|
969,8,ref|NC_011302.1|
970,4,ref|NC_029148.1|
971,4,ref|NC_029162.1|
972,15,ref|NC_029162.1|
973,1,ref|NC_020342.1|
974,2,ref|NC_020342.1|
975,3,ref|NC_020342.1|
976,4,ref|NC_020342.1|
977,6,ref|NC_020342.1|
978,8,ref|NC_020342.1|
979,15,ref|NC_020342.1|
980,15,ref|NC_029163.1|
981,15,ref|NC_029164.1|
982,5,ref|NC_020309.1|
983,15,ref|NC_020309.1|
984,1,ref|NC_007102.1|
985,8,ref|NC_007102.1|
986,4,ref|NC_013272.1|
987,15,ref|NC_025551.1|
988,1,ref|NC_027488.1|
989,2,ref|NC_027488.1|
990,3,ref|NC_027488.1|
991,4,ref|NC_027488.1|
992,5,ref|NC_027488.1|
993,6,ref|NC_027488.1|
994,7,ref|NC_027488.1|
995,8,ref|NC_027488.1|
996,9,ref|NC_027488.1|
997,10,ref|NC_027488.1|
998,11,ref|NC_027488.1|
999,12,ref|NC_027488.1|
1000,13,ref|NC_027488.1|
1001,14,ref|NC_027488.1|
1002,15,ref|NC_027488.1|
1003,4,ref|NC_030058.1|
1004,5,ref|NC_030058.1|
1005,15,ref|NC_029202.1|
1006,15,ref|NC_027263.1|
1007,15,ref|NC_027170.1|
1008,15,ref|NC_034070.1|
1009,5,ref|NC_021123.1|
1010,15,ref|NC_021123.1|
1011,15,ref|NC_029844.1|
1012,15,ref|NC_027516.1|
1013,15,ref|NC_024864.1|
1014,15,ref|NC_024744.1|
1015,15,ref|NC_026463.1|
1016,15,ref|NC_024741.1|
1017,15,ref|NC_026564.1|
1018,15,ref|NC_014668.1|
1019,15,ref|NC_026199.1|
1020,15,ref|NC_030370.1|
1021,15,ref|NC_028539.1|
1022,4,ref|NC_025329.1|
1023,5,ref|NC_025329.1|
1024,15,ref|NC_025329.1|
1025,15,ref|NC_028086.1|
1026,1,ref|NC_002651.1|
1027,2,ref|NC_002651.1|
1028,4,ref|NC_002651.1|
1029,5,ref|NC_002651.1|
1030,7,ref|NC_002651.1|
1031,8,ref|NC_002651.1|
1032,9,ref|NC_002651.1|
1033,10,ref|NC_002651.1|
1034,11,ref|NC_002651.1|
1035,12,ref|NC_002651.1|
1036,13,ref|NC_002651.1|
1037,14,ref|NC_002651.1|
1038,15,ref|NC_002651.1|
1039,15,ref|NC_028506.1|
1040,1,ref|NC_014680.1|
1041,2,ref|NC_014680.1|
1042,3,ref|NC_014680.1|
1043,4,ref|NC_014680.1|
1044,6,ref|NC_014680.1|
1045,8,ref|NC_014680.1|
1046,1,ref|NC_030028.1|
1047,8,ref|NC_030028.1|
1048,15,ref|NC_030028.1|
1049,1,ref|NC_030029.1|
1050,4,ref|NC_030029.1|
1051,8,ref|NC_030029.1|
1052,15,ref|NC_030029.1|
1053,1,ref|NC_030023.1|
1054,4,ref|NC_030023.1|
1055,5,ref|NC_030023.1|
1056,8,ref|NC_030023.1|
1057,15,ref|NC_030023.1|
1058,1,ref|NC_030024.1|
1059,4,ref|NC_030024.1|
1060,5,ref|NC_030024.1|
1061,8,ref|NC_030024.1|
1062,15,ref|NC_030024.1|
1063,1,ref|NC_030022.1|
1064,4,ref|NC_030022.1|
1065,5,ref|NC_030022.1|
1066,8,ref|NC_030022.1|
1067,15,ref|NC_030022.1|
1068,1,ref|NC_030025.1|
1069,8,ref|NC_030025.1|
1070,15,ref|NC_030025.1|
1071,1,ref|NC_030026.1|
1072,2,ref|NC_030026.1|
1073,3,ref|NC_030026.1|
1074,5,ref|NC_030026.1|
1075,8,ref|NC_030026.1|
1076,15,ref|NC_030026.1|
1077,1,ref|NC_030027.1|
1078,2,ref|NC_030027.1|
1079,3,ref|NC_030027.1|
1080,4,ref|NC_030027.1|
1081,5,ref|NC_030027.1|
1082,8,ref|NC_030027.1|
1083,15,ref|NC_030027.1|
1084,1,ref|NC_030030.1|
1085,5,ref|NC_030030.1|
1086,8,ref|NC_030030.1|
1087,15,ref|NC_030030.1|
1088,1,ref|NC_018127.1|
1089,5,ref|NC_018127.1|
1090,8,ref|NC_018127.1|
1091,15,ref|NC_018127.1|
1092,4,ref|NC_030031.1|
1093,15,ref|NC_030031.1|
1094,1,ref|NC_030032.1|
1095,2,ref|NC_030032.1|
1096,3,ref|NC_030032.1|
1097,4,ref|NC_030032.1|
1098,5,ref|NC_030032.1|
1099,8,ref|NC_030032.1|
1100,15,ref|NC_030032.1|
1101,1,ref|NC_030033.1|
1102,2,ref|NC_030033.1|
1103,3,ref|NC_030033.1|
1104,4,ref|NC_030033.1|
1105,5,ref|NC_030033.1|
1106,8,ref|NC_030033.1|
1107,15,ref|NC_030033.1|
1108,1,ref|NC_030034.1|
1109,4,ref|NC_030034.1|
1110,5,ref|NC_030034.1|
1111,8,ref|NC_030034.1|
1112,15,ref|NC_030034.1|
1113,4,ref|NC_033983.1|
1114,6,ref|NC_033983.1|
1115,4,ref|NC_033999.1|
1116,6,ref|NC_033999.1|
1117,6,ref|NC_029326.1|
1118,15,ref|NC_029326.1|
1119,6,ref|NC_034283.1|
1120,15,ref|NC_034283.1|
1121,4,ref|NC_030587.1|
1122,15,ref|NC_014587.1|
1123,6,ref|NC_034134.1|
1124,15,ref|NC_034134.1|
1125,4,ref|NC_033993.1|
1126,5,ref|NC_006899.1|
1127,6,ref|NC_033998.1|
1128,15,ref|NC_033998.1|
1129,2,ref|NC_029495.1|
1130,4,ref|NC_029495.1|
1131,6,ref|NC_029495.1|
1132,15,ref|NC_029495.1|
1133,5,ref|NC_034074.1|
1134,15,ref|NC_034074.1|
1135,15,ref|NC_030264.1|
1136,6,ref|NC_023535.1|
1137,6,ref|NC_034129.1|
1138,15,ref|NC_034129.1|
1139,15,ref|NC_012456.1|
1140,4,ref|NC_025758.1|
1141,6,ref|NC_025758.1|
1142,4,ref|NC_012842.1|
1143,15,ref|NC_012842.1|
1144,1,ref|NC_029246.1|
1145,5,ref|NC_029246.1|
1146,8,ref|NC_029246.1|
1147,15,ref|NC_029246.1|
1148,5,ref|NC_026468.1|
1149,6,ref|NC_026468.1|
1150,15,ref|NC_026468.1|
1151,1,ref|NC_022680.1|
1152,8,ref|NC_022680.1|
1153,15,ref|NC_014058.1|
1154,6,ref|NC_013932.1|
1155,6,ref|NC_026072.1|
1156,15,ref|NC_026072.1|
1157,5,ref|NC_034037.1|
1158,15,ref|NC_034037.1|
1159,15,ref|NC_030508.1|
1160,1,ref|NC_026832.1|
1161,4,ref|NC_026832.1|
1162,7,ref|NC_026832.1|
1163,9,ref|NC_026832.1|
1164,10,ref|NC_026832.1|
1165,11,ref|NC_026832.1|
1166,12,ref|NC_026832.1|
1167,13,ref|NC_026832.1|
1168,14,ref|NC_026832.1|
1169,15,ref|NC_026832.1|
1170,1,ref|NC_015999.1|
1171,2,ref|NC_015999.1|
1172,3,ref|NC_015999.1|
1173,4,ref|NC_015999.1|
1174,5,ref|NC_015999.1|
1175,6,ref|NC_015999.1|
1176,7,ref|NC_015999.1|
1177,8,ref|NC_015999.1|
1178,9,ref|NC_015999.1|
1179,10,ref|NC_015999.1|
1180,11,ref|NC_015999.1|
1181,12,ref|NC_015999.1|
1182,13,ref|NC_015999.1|
1183,14,ref|NC_015999.1|
1184,15,ref|NC_015999.1|
1185,15,ref|NC_030376.1|
1186,15,ref|NC_024428.1|
1187,4,ref|NC_012845.1|
1188,1,ref|NC_034118.1|
1189,2,ref|NC_034118.1|
1190,3,ref|NC_034118.1|
1191,8,ref|NC_034118.1|
1192,15,ref|NC_034118.1|
1193,4,ref|NC_031824.1|
1194,6,ref|NC_031824.1|
1195,15,ref|NC_031824.1|
1196,4,ref|NC_021617.1|
1197,6,ref|NC_021617.1|
1198,15,ref|NC_018030.1|
1199,15,ref|NC_027948.1|
1200,15,ref|NC_026517.1|
1201,5,ref|NC_007214.1|
1202,6,ref|NC_007214.1|
1203,4,ref|NC_022710.1|
1204,5,ref|NC_034083.1|
1205,15,ref|NC_034083.1|
1206,15,ref|NC_024407.1|
1207,15,ref|NC_028207.1|
1208,15,ref|NC_033861.1|
1209,15,ref|NC_016196.1|
1210,4,ref|NC_028076.1|
1211,1,ref|NC_024033.1|
1212,4,ref|NC_024033.1|
1213,7,ref|NC_024033.1|
1214,9,ref|NC_024033.1|
1215,12,ref|NC_024033.1|
1216,13,ref|NC_024033.1|
1217,15,ref|NC_024033.1|
1218,2,ref|NC_023920.1|
1219,3,ref|NC_023920.1|
1220,4,ref|NC_023920.1|
1221,1,ref|NC_028159.1|
1222,4,ref|NC_028159.1|
1223,8,ref|NC_028159.1|
1224,4,ref|NC_033995.1|
1225,4,ref|NC_034058.1|
1226,5,ref|NC_034058.1|
1227,15,ref|NC_034058.1|
1228,4,ref|NC_029172.1|
1229,15,ref|NC_029172.1|
1230,15,ref|NC_023953.1|
1231,5,ref|NC_013706.1|
1232,6,ref|NC_013706.1|
1233,4,ref|NC_019576.1|
1234,5,ref|NC_019576.1|
1235,6,ref|NC_019576.1|
1236,6,ref|NC_026692.1|
1237,15,ref|NC_026692.1|
1238,4,ref|NC_020774.1|
1239,5,ref|NC_020774.1|
1240,6,ref|NC_020774.1|
1241,1,ref|NC_022675.1|
1242,2,ref|NC_022675.1|
1243,3,ref|NC_022675.1|
1244,5,ref|NC_022675.1|
1245,8,ref|NC_022675.1|
1246,15,ref|NC_022686.1|
1247,6,ref|NC_023219.1|
1248,15,ref|NC_024028.1|
1249,4,ref|NC_023093.1|
1250,5,ref|NC_023093.1|
1251,7,ref|NC_023093.1|
1252,15,ref|NC_023093.1|
1253,6,ref|NC_029826.1|
1254,15,ref|NC_029826.1|
1255,4,ref|NC_028507.1|
1256,15,ref|NC_028507.1|
1257,6,ref|NC_026062.1|
1258,15,ref|NC_026062.1|
1259,1,ref|NC_027194.1|
1260,5,ref|NC_027194.1|
1261,9,ref|NC_027194.1|
1262,15,ref|NC_034047.1|
1263,15,ref|NC_018547.1|
1264,15,ref|NC_024399.1|
1265,15,ref|NC_015609.1|
1266,15,ref|NC_030363.1|
1267,15,ref|NC_016724.1|
1268,15,ref|NC_034235.1|
1269,15,ref|NC_034232.1|
1270,15,ref|NC_034234.1|
1271,15,ref|NC_034233.1|
1272,15,ref|NC_026219.1|
1273,1,ref|NC_028541.1|
1274,2,ref|NC_028541.1|
1275,3,ref|NC_028541.1|
1276,4,ref|NC_028541.1|
1277,5,ref|NC_028541.1|
1278,6,ref|NC_028541.1|
1279,7,ref|NC_028541.1|
1280,8,ref|NC_028541.1|
1281,9,ref|NC_028541.1|
1282,10,ref|NC_028541.1|
1283,11,ref|NC_028541.1|
1284,12,ref|NC_028541.1|
1285,13,ref|NC_028541.1|
1286,14,ref|NC_028541.1|
1287,15,ref|NC_028541.1|
1288,1,ref|NC_028534.1|
1289,2,ref|NC_028534.1|
1290,3,ref|NC_028534.1|
1291,4,ref|NC_028534.1|
1292,5,ref|NC_028534.1|
1293,6,ref|NC_028534.1|
1294,7,ref|NC_028534.1|
1295,8,ref|NC_028534.1|
1296,9,ref|NC_028534.1|
1297,10,ref|NC_028534.1|
1298,11,ref|NC_028534.1|
1299,12,ref|NC_028534.1|
1300,13,ref|NC_028534.1|
1301,14,ref|NC_028534.1|
1302,15,ref|NC_028534.1|
1303,4,ref|NC_028602.1|
1304,1,ref|NC_023839.1|
1305,2,ref|NC_023839.1|
1306,3,ref|NC_023839.1|
1307,4,ref|NC_023839.1|
1308,5,ref|NC_023839.1|
1309,6,ref|NC_023839.1|
1310,8,ref|NC_023839.1|
1311,15,ref|NC_023839.1|
1312,1,ref|NC_025503.1|
1313,2,ref|NC_025503.1|
1314,3,ref|NC_025503.1|
1315,4,ref|NC_025503.1|
1316,5,ref|NC_025503.1|
1317,6,ref|NC_025503.1|
1318,8,ref|NC_025503.1|
1319,15,ref|NC_025503.1|
1320,1,ref|NC_025504.1|
1321,2,ref|NC_025504.1|
1322,3,ref|NC_025504.1|
1323,4,ref|NC_025504.1|
1324,5,ref|NC_025504.1|
1325,6,ref|NC_025504.1|
1326,7,ref|NC_025504.1|
1327,8,ref|NC_025504.1|
1328,9,ref|NC_025504.1|
1329,10,ref|NC_025504.1|
1330,11,ref|NC_025504.1|
1331,12,ref|NC_025504.1|
1332,13,ref|NC_025504.1|
1333,14,ref|NC_025504.1|
1334,15,ref|NC_025504.1|
1335,1,ref|NC_030594.1|
1336,2,ref|NC_030594.1|
1337,3,ref|NC_030594.1|
1338,4,ref|NC_030594.1|
1339,5,ref|NC_030594.1|
1340,6,ref|NC_030594.1|
1341,8,ref|NC_030594.1|
1342,15,ref|NC_030594.1|
1343,1,ref|NC_025505.1|
1344,2,ref|NC_025505.1|
1345,3,ref|NC_025505.1|
1346,4,ref|NC_025505.1|
1347,5,ref|NC_025505.1|
1348,6,ref|NC_025505.1|
1349,7,ref|NC_025505.1|
1350,8,ref|NC_025505.1|
1351,9,ref|NC_025505.1|
1352,10,ref|NC_025505.1|
1353,11,ref|NC_025505.1|
1354,12,ref|NC_025505.1|
1355,13,ref|NC_025505.1|
1356,14,ref|NC_025505.1|
1357,15,ref|NC_025505.1|
1358,1,ref|NC_025506.1|
1359,2,ref|NC_025506.1|
1360,3,ref|NC_025506.1|
1361,4,ref|NC_025506.1|
1362,5,ref|NC_025506.1|
1363,6,ref|NC_025506.1|
1364,8,ref|NC_025506.1|
1365,15,ref|NC_025506.1|
1366,4,ref|NC_033996.1|
1367,4,ref|NC_024535.1|
1368,6,ref|NC_024535.1|
1369,15,ref|NC_024535.1|
1370,2,ref|NC_020775.1|
1371,3,ref|NC_020775.1|
1372,4,ref|NC_020775.1|
1373,5,ref|NC_020775.1|
1374,15,ref|NC_029193.1|
1375,15,ref|NC_024649.1|
1376,1,ref|NC_001712.1|
1377,2,ref|NC_001712.1|
1378,3,ref|NC_001712.1|
1379,4,ref|NC_001712.1|
1380,5,ref|NC_001712.1|
1381,8,ref|NC_001712.1|
1382,15,ref|NC_001712.1|
1383,1,ref|NC_014891.1|
1384,2,ref|NC_014891.1|
1385,3,ref|NC_014891.1|
1386,4,ref|NC_014891.1|
1387,5,ref|NC_014891.1|
1388,8,ref|NC_014891.1|
1389,15,ref|NC_014891.1|
1390,2,ref|NC_011119.1|
1391,3,ref|NC_011119.1|
1392,4,ref|NC_011119.1|
1393,5,ref|NC_011119.1|
1394,15,ref|NC_011119.1|
1395,2,ref|NC_015624.1|
1396,3,ref|NC_015624.1|
1397,4,ref|NC_015624.1|
1398,5,ref|NC_015624.1|
1399,15,ref|NC_015624.1|
1400,15,ref|NC_034094.1|
1401,15,ref|NC_034105.1|
1402,1,ref|NC_033985.1|
1403,2,ref|NC_033985.1|
1404,3,ref|NC_033985.1|
1405,8,ref|NC_033985.1|
1406,1,ref|NC_030763.1|
1407,8,ref|NC_030763.1|
1408,5,ref|NC_013578.1|
1409,15,ref|NC_013578.1|
1410,4,ref|NC_019637.1|
1411,2,ref|NC_022472.1|
1412,4,ref|NC_022472.1|
1413,15,ref|NC_027672.1|
1414,15,ref|NC_023938.1|
1415,1,ref|NC_023087.1|
1416,2,ref|NC_023087.1|
1417,3,ref|NC_023087.1|
1418,4,ref|NC_023087.1|
1419,5,ref|NC_023087.1|
1420,6,ref|NC_023087.1|
1421,8,ref|NC_023087.1|
1422,15,ref|NC_023087.1|
1423,15,ref|NC_012893.1|
1424,5,ref|NC_033339.1|
1425,1,ref|NC_018130.1|
1426,2,ref|NC_018130.1|
1427,3,ref|NC_018130.1|
1428,8,ref|NC_018130.1|
1429,15,ref|NC_018130.1|
1430,5,ref|NC_034078.1|
1431,6,ref|NC_034078.1|
1432,15,ref|NC_034078.1|
1433,6,ref|NC_018599.1|
1434,15,ref|NC_018599.1|
1435,5,ref|NC_034046.1|
1436,15,ref|NC_034046.1|
1437,4,ref|NC_034050.1|
1438,5,ref|NC_034050.1|
1439,6,ref|NC_034050.1|
1440,15,ref|NC_034050.1|
1441,1,ref|NC_034110.1|
1442,2,ref|NC_034110.1|
1443,3,ref|NC_034110.1|
1444,5,ref|NC_034110.1|
1445,6,ref|NC_034110.1|
1446,8,ref|NC_034110.1|
1447,15,ref|NC_034110.1|
1448,4,ref|NC_034030.1|
1449,15,ref|NC_034030.1|
1450,5,ref|NC_034127.1|
1451,6,ref|NC_034127.1|
1452,15,ref|NC_034127.1|
1453,4,ref|NC_025522.1|
1454,6,ref|NC_025522.1|
1455,15,ref|NC_025522.1|
1456,5,ref|NC_018128.1|
1457,15,ref|NC_018128.1|
1458,6,ref|NC_034054.1|
1459,15,ref|NC_034054.1|
1460,1,ref|NC_034288.1|
1461,2,ref|NC_034288.1|
1462,3,ref|NC_034288.1|
1463,5,ref|NC_034288.1|
1464,6,ref|NC_034288.1|
1465,8,ref|NC_034288.1|
1466,15,ref|NC_034288.1|
1467,15,ref|NC_012458.1|
1468,6,ref|NC_010266.1|
1469,15,ref|NC_010266.1|
1470,15,ref|NC_030265.1|
1471,1,ref|NC_028603.1|
1472,9,ref|NC_028603.1|
1473,1,ref|NC_023937.1|
1474,5,ref|NC_023937.1|
1475,8,ref|NC_023937.1|
1476,1,ref|NC_018120.1|
1477,2,ref|NC_018120.1|
1478,3,ref|NC_018120.1|
1479,8,ref|NC_018120.1|
1480,15,ref|NC_018120.1|
1481,15,ref|NC_013066.1|
1482,4,ref|NC_021380.1|
1483,4,ref|NC_021379.1|
1484,4,ref|NC_028017.1|
1485,5,ref|NC_028017.1|
1486,15,ref|NC_028017.1|
1487,1,ref|NC_015342.1|
1488,4,ref|NC_015342.1|
1489,6,ref|NC_015342.1|
1490,8,ref|NC_015342.1|
1491,4,ref|NC_014688.1|
1492,6,ref|NC_014688.1|
1493,4,ref|NC_031823.1|
1494,1,ref|NC_028196.1|
1495,2,ref|NC_028196.1|
1496,3,ref|NC_028196.1|
1497,4,ref|NC_028196.1|
1498,5,ref|NC_028196.1|
1499,6,ref|NC_028196.1|
1500,7,ref|NC_028196.1|
1501,8,ref|NC_028196.1|
1502,9,ref|NC_028196.1|
1503,10,ref|NC_028196.1|
1504,11,ref|NC_028196.1|
1505,12,ref|NC_028196.1|
1506,13,ref|NC_028196.1|
1507,14,ref|NC_028196.1|
1508,15,ref|NC_028196.1|
1509,6,ref|NC_023794.1|
1510,1,ref|NC_014450.1|
1511,6,ref|NC_014450.1|
1512,9,ref|NC_014450.1|
1513,15,ref|NC_014450.1|
1514,2,ref|NC_023921.1|
1515,3,ref|NC_023921.1|
1516,15,ref|NC_023921.1|
1517,1,ref|NC_014451.1|
1518,2,ref|NC_014451.1|
1519,3,ref|NC_014451.1|
1520,4,ref|NC_014451.1|
1521,5,ref|NC_014451.1|
1522,8,ref|NC_014451.1|
1523,15,ref|NC_014451.1|
1524,15,ref|NC_024550.1|
1525,15,ref|NC_021370.1|
1526,15,ref|NC_024406.1|
1527,2,ref|NC_004529.1|
1528,3,ref|NC_004529.1|
1529,4,ref|NC_004529.1|
1530,5,ref|NC_004529.1|
1531,15,ref|NC_004529.1|
1532,4,ref|NC_026198.1|
1533,5,ref|NC_026198.1|
1534,6,ref|NC_026198.1|
1535,15,ref|NC_026198.1|
1536,15,ref|NC_018029.1|
1537,1,ref|NC_018545.1|
1538,2,ref|NC_018545.1|
1539,6,ref|NC_018545.1|
1540,7,ref|NC_018545.1|
1541,9,ref|NC_018545.1|
1542,10,ref|NC_018545.1|
1543,11,ref|NC_018545.1|
1544,12,ref|NC_018545.1|
1545,13,ref|NC_018545.1|
1546,14,ref|NC_018545.1|
1547,15,ref|NC_018545.1|
1548,15,ref|NC_033891.1|
1549,15,ref|NC_029811.1|
1550,4,ref|NC_033986.1|
1551,2,ref|NC_014673.1|
1552,3,ref|NC_014673.1|
1553,4,ref|NC_014673.1|
1554,5,ref|NC_034065.1|
1555,15,ref|NC_034065.1|
1556,1,ref|NC_034036.1|
1557,5,ref|NC_034036.1|
1558,9,ref|NC_034036.1|
1559,15,ref|NC_034036.1|
1560,15,ref|NC_034067.1|
1561,5,ref|NC_034084.1|
1562,15,ref|NC_034084.1|
1563,1,ref|NC_034104.1|
1564,2,ref|NC_034104.1|
1565,3,ref|NC_034104.1|
1566,5,ref|NC_034104.1|
1567,6,ref|NC_034104.1|
1568,8,ref|NC_034104.1|
1569,15,ref|NC_034104.1|
1570,15,ref|NC_034021.1|
1571,5,ref|NC_026114.1|
1572,15,ref|NC_026114.1|
1573,5,ref|NC_034133.1|
1574,15,ref|NC_034133.1|
1575,5,ref|NC_034142.1|
1576,6,ref|NC_034142.1|
1577,15,ref|NC_034142.1|
1578,2,ref|NC_018122.1|
1579,3,ref|NC_018122.1|
1580,4,ref|NC_018122.1|
1581,15,ref|NC_018122.1|
1582,1,ref|NC_034072.1|
1583,5,ref|NC_034072.1|
1584,6,ref|NC_034072.1|
1585,9,ref|NC_034072.1|
1586,15,ref|NC_034072.1|
1587,4,ref|NC_033410.1|
1588,6,ref|NC_033410.1|
1589,15,ref|NC_033410.1|
1590,15,ref|NC_028065.1|
1591,4,ref|NC_034085.1|
1592,15,ref|NC_034085.1|
1593,15,ref|NC_032683.1|
1594,4,ref|NC_013251.1|
1595,15,ref|NC_013251.1|
1596,6,ref|NC_024855.1|
1597,15,ref|NC_025762.1|
1598,15,ref|NC_011301.1|
1599,4,ref|NC_024826.1|
1600,5,ref|NC_024826.1|
1601,15,ref|NC_024826.1|
1602,4,ref|NC_026133.1|
1603,6,ref|NC_026133.1|
1604,15,ref|NC_026133.1|
1605,15,ref|NC_023118.1|
1606,4,ref|NC_029727.1|
1607,6,ref|NC_029727.1|
1608,15,ref|NC_029727.1|
1609,15,ref|NC_034108.1|
1610,15,ref|NC_034026.1|
1611,15,ref|NC_026115.1|
1612,15,ref|NC_034020.1|
1613,6,ref|NC_034115.1|
1614,15,ref|NC_034115.1|
1615,1,ref|NC_034040.1|
1616,2,ref|NC_034040.1|
1617,3,ref|NC_034040.1|
1618,8,ref|NC_034040.1|
1619,15,ref|NC_034040.1|
1620,5,ref|NC_034117.1|
1621,15,ref|NC_034117.1|
1622,15,ref|NC_034060.1|
1623,4,ref|NC_034023.1|
1624,15,ref|NC_034023.1|
1625,4,ref|NC_034042.1|
1626,15,ref|NC_034042.1|
1627,5,ref|NC_034146.1|
1628,15,ref|NC_034146.1|
1629,15,ref|NC_034034.1|
1630,15,ref|NC_034080.1|
1631,15,ref|NC_034045.1|
1632,15,ref|NC_034093.1|
1633,15,ref|NC_018131.1|
1634,1,ref|NC_018354.1|
1635,8,ref|NC_018354.1|
1636,15,ref|NC_018354.1|
1637,4,ref|NC_026866.1|
1638,5,ref|NC_034053.1|
1639,6,ref|NC_034053.1|
1640,15,ref|NC_034053.1|
1641,5,ref|NC_026116.1|
1642,6,ref|NC_026116.1|
1643,15,ref|NC_026116.1|
1644,4,ref|NC_025282.1|
1645,4,ref|NC_018772.1|
1646,2,ref|NC_025281.1|
1647,3,ref|NC_025281.1|
1648,4,ref|NC_025281.1|
1649,2,ref|NC_006159.1|
1650,4,ref|NC_006159.1|
1651,5,ref|NC_006159.1|
1652,6,ref|NC_006159.1|
1653,15,ref|NC_006159.1|
1654,2,ref|NC_027852.1|
1655,3,ref|NC_027852.1|
1656,15,ref|NC_024411.1|
1657,15,ref|NC_018124.1|
1658,4,ref|NC_026977.1|
1659,15,ref|NC_025759.1|
1660,15,ref|NC_024419.1|
1661,15,ref|NC_024401.1|
1662,4,ref|NC_012838.1|
1663,4,ref|NC_022677.1|
1664,5,ref|NC_022677.1|
1665,5,ref|NC_006895.1|
1666,6,ref|NC_006895.1|
1667,1,ref|NC_012459.1|
1668,2,ref|NC_012459.1|
1669,3,ref|NC_012459.1|
1670,4,ref|NC_012459.1|
1671,5,ref|NC_012459.1|
1672,8,ref|NC_012459.1|
1673,15,ref|NC_028153.1|
1674,1,ref|NC_027851.1|
1675,2,ref|NC_027851.1|
1676,3,ref|NC_027851.1|
1677,4,ref|NC_027851.1|
1678,6,ref|NC_027851.1|
1679,8,ref|NC_027851.1|
1680,4,ref|NC_011755.1|
1681,1,ref|NC_033388.1|
1682,2,ref|NC_033388.1|
1683,3,ref|NC_033388.1|
1684,5,ref|NC_033388.1|
1685,8,ref|NC_033388.1|
1686,5,ref|NC_021748.1|
1687,15,ref|NC_021748.1|
1688,5,ref|NC_024627.1|
1689,15,ref|NC_026838.1|
1690,15,ref|NC_034145.1|
1691,6,ref|NC_025764.1|
1692,15,ref|NC_025764.1|
1693,15,ref|NC_024825.1|
1694,4,ref|NC_026898.1|
1695,6,ref|NC_034088.1|
1696,15,ref|NC_034088.1|
1697,1,ref|NC_022674.1|
1698,2,ref|NC_022674.1|
1699,3,ref|NC_022674.1|
1700,5,ref|NC_022674.1|
1701,8,ref|NC_022674.1|
1702,15,ref|NC_018048.1|
